ID,City,Latitude,Longitude,Status,Pay
1,Kasarwadi,18.606088,73.822791,Plumber,400
2,Dapodi,18.585293,73.833217,Electrician,500
3,University_Road,18.555553,73.818436,Electrician,600
4,Khadki,18.554131,73.848334,Plumber,564
5,Kasarwadi,18.530749,74.884635,Plumber,544
6,Pragati_Nagar,18.565459,73.831163,Electrician,322
7,Khaire_Vasti,18.535204,73.838236,Electrician,687
8,Bopodi,18.571487,73.837311,Plumber,645
9,Hinjewadi,18.591276,73.738911,Plumber,564
10,Bhumkar_Chowk,18.605672,73.752522,Plumber,456
11,Sayaji_Hotel,18.599414,73.754641,Plumber,400
12,Wakad,18.591904,73.756982,Plumber,500
13,Madhuban_Hotel,18.590766,73.750325,Plumber,600
14,Dmart_Hinjewadi,18.591111,73.744266,Plumber,564
15,Durga_Hotel,18.604606,73.751354,Electrician,544
16,Bhumkar_Vasti,18.603093,73.749822,Electrician,322
17,Tukaram_Garden,18.599711,73.744724,Electrician,687
18,Sai_Hospital,18.596486,73.741014,Electrician,645
19,Ruby_Hospital,18.592833,73.733981,Plumber,564
20,Phase3,18.582967,73.687399,Plumber,456
21,Pall_Corporation,18.594232,73.728848,Plumber,400
22,Wipro_Tech,18.596865,73.719043,Plumber,500
23,Infosys_Pune,18.593652,73.708285,Plumber,600
24,Eclerx_Service,18.584864,73.696256,Plumber,564
25,Jaymalhar_Hotel,18.585643,73.73161,Electrician,544
26,Joshi_wadewale,18.581012,73.72263,Electrician,322
27,Ashwini_Hospital,18.576501,73.711563,Electrician,687
29,Msrtc_Busstop,18.580001,73.687859,Electrician,645
30,Kaspate_Chowk,18.589091,73.777049,Plumber,564
31,Aundh,18.560168,73.803132,Plumber,456
32,Vishal_Nagar,18.587479,73.788701,Electrician,400
33,Military_Station,18.582834,73.796942,Electrician,500
34,Westend_Mall,18.560499,73.807841,Electrician,600
35,Distric_Hospital,18.576308,73.804031,Electrician,564
36,Akash_Towers,18.585628,73.781511,Plumber,544
37,Pimple_Nilakh,18.578456,73.786305,Plumber,322
38,Adarsh_Nagar,18.568663,73.790685,Plumber,687
39,Hotel_Haveli,18.561801,73.792623,Plumber,645
40,Ambegaon,18.445977,73.850574,Plumber,564
41,Narhe,18.446533,73.826363,Plumber,456
42,Katraj_Post_Office,18.450283,73.850135,Plumber,400
43,Sai_Nagar,18.451721,73.846951,Plumber,500
44,Ram_Mandir,18.452596,73.837393,Plumber,600
45,Sun_City,18.449458,73.834839,Plumber,564
46,Jay_Bhavani_Chowk,18.444574,73.848473,Electrician,544
47,Hotel_Purandar,18.443087,73.847765,Electrician,322
48,Jambhulwadi_Lake,18.439851,73.845312,Electrician,687
49,Engineers_Chai,18.441405,73.840079,Electrician,645
50,Katraj,18.453061,73.864896,Plumber,564
51,Shaniwarda_Wada,18.519471,73.855302,Plumber,456
52,Ahilya_Devi_Chowk,18.468397,73.857689,Plumber,400
53,City_Pride,18.489291,73.857631,Plumber,500
54,Swargate_Bus_Depot,18.500252,73.858551,Plumber,600
55,Dagdusheth_Mandir,18.516889,73.856236,Plumber,564
56,Rajiv_Gandhi_Nagar,18.461043,73.869025,Electrician,544
57,Aai_Mata_Chowk,18.480836,73.872357,Electrician,322
58,Gultekdi_Chowk,18.493024,73.869224,Electrician,687
59,Ganesh_Road,18.518741,73.859365,Electrician,645
60,Bavdhan,18.513556,73.769551,Plumber,564
61,FC_Road,18.517383,73.841531,Plumber,456
62,Chandani_Chowk,18.507249,73.783785,Plumber,400
63,Kothrud,18.507351,73.807838,Plumber,500
